,ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
0,DE0006047004,HEI,HEIDELBERGCEMENT AG O.N.,Common stock,EUR,2505002,2018-10-10,13:00,63.58,63.62,63.58,63.62,340,4
1,DE000SYM9999,SY1,SYMRISE AG INH. O.N.,Common stock,EUR,2504852,2018-10-10,13:00,72.4,72.46,72.4,72.46,617,9
2,DE000A2LQ2L3,IGYB,INNOGY SE  Z.VERK.,Common stock,EUR,3166236,2018-10-10,13:00,36.815,36.815,36.815,36.815,571,1
3,LU1296758029,CCAP,CORESTATE CAPITAL HLDG,Common stock,EUR,2506149,2018-10-10,13:00,36.8,36.8,36.8,36.8,65,2
4,DE0008232125,LHA,LUFTHANSA AG VNA O.N.,Common stock,EUR,2505130,2018-10-10,13:00,19.605,19.61,19.605,19.605,3002,4
5,DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2018-10-10,13:00,39.68,39.68,39.68,39.68,1079,2
6,DE0005437305,COP,COMPUGROUP MED.SE O.N.,Common stock,EUR,2504932,2018-10-10,13:00,46.82,46.82,46.8,46.8,114,3
7,DE0007100000,DAI,DAIMLER AG NA O.N.,Common stock,EUR,2505076,2018-10-10,13:00,54.17,54.2,54.17,54.19,3671,16
8,DE0005200000,BEI,BEIERSDORF AG O.N.,Common stock,EUR,2504906,2018-10-10,13:00,91.46,91.52,91.46,91.52,456,8
9,DE0006632003,MOR,MORPHOSYS AG O.N.,Common stock,EUR,2505055,2018-10-10,13:00,79.9,79.9,79.85,79.85,782,4
10,DE000WCH8881,WCH,WACKER CHEMIE        O.N.,Common stock,EUR,2504860,2018-10-10,13:00,98.44,98.5,98.44,98.44,1815,20
11,FR0010429068,LYM7,LYXOR MSCI E.M.U.ETF C-EO,ETF,EUR,2505242,2018-10-10,13:00,9.4878,9.4878,9.4878,9.4878,315,1
12,DE0005470405,LXS,LANXESS AG,Common stock,EUR,2504935,2018-10-10,13:00,61.44,61.44,61.4,61.42,970,6
13,DE000A1DAHH0,BNR,BRENNTAG AG NA O.N.,Common stock,EUR,2504453,2018-10-10,13:00,49.02,49.02,49.02,49.02,109,2
14,DE000A0DPRE6,LNSX,SIXT LEASING O.N.,Common stock,EUR,2504289,2018-10-10,13:00,12.9,12.9,12.9,12.9,1895,4
15,DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2018-10-10,13:00,40.95,40.96,40.95,40.96,122,4
