,ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
41,DE000KC01000,KCO,KLOECKNER + CO SE NA O.N.,Common stock,EUR,2504810,2018-10-10,15:00,9.355,9.355,9.35,9.355,840,3
42,DE000A2DA588,MXHN,MAX AUTOMATION SE NA O.N.,Common stock,EUR,2504644,2018-10-10,15:00,5.16,5.16,5.16,5.16,14,1
43,DE0005200000,BEI,BEIERSDORF AG O.N.,Common stock,EUR,2504906,2018-10-10,15:00,91.62,91.62,91.58,91.58,440,6
44,DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2018-10-10,15:00,63.02,63.02,63.0,63.0,1058,4
45,DE0008303504,TEG,TAG IMMOBILIEN AG,Common stock,EUR,2505131,2018-10-10,15:00,20.02,20.02,20.02,20.02,3636,4
46,DE0006305006,DEZ,DEUTZ AG O.N.,Common stock,EUR,2505037,2018-10-10,15:00,7.0,7.015,7.0,7.015,2839,8
47,DE0005933956,EXW1,ISHARES EO STOXX 50 U.ETF,ETF,EUR,2506383,2018-10-10,15:00,32.785,32.785,32.77,32.77,30623,3
48,DE000WAF3001,WAF,SILTRONIC AG NA O.N.,Common stock,EUR,2504859,2018-10-10,15:00,91.44,91.44,91.4,91.4,61,3
49,CA4969024047,KIN2,KINROSS GOLD CORP.,Common stock,EUR,2504199,2018-10-10,15:00,2.36,2.36,2.36,2.36,300,1
50,GB00B03MM408,R6C3,ROYAL DUTCH SHELL B EO-07,Common stock,EUR,2505361,2018-10-10,15:00,30.13,30.13,30.1,30.1,3300,4
51,IE00B8KGV557,EUNZ,ISHSVI-E.MSCI EM MIN.VDLA,ETF,EUR,2505780,2018-10-10,15:00,24.2,24.2,24.2,24.2,266,15
52,DE0007100000,DAI,DAIMLER AG NA O.N.,Common stock,EUR,2505076,2018-10-10,15:00,53.84,53.84,53.71,53.74,14818,31
53,DE0005565204,DUE,DUERR AG O.N.,Common stock,EUR,2504956,2018-10-10,15:00,32.94,32.94,32.88,32.88,643,7
54,FR0000121014,MOH,"LVMH               EO 0,3",Common stock,EUR,2505174,2018-10-10,15:00,265.1,265.1,265.1,265.1,50,1
55,DE0006464506,LEI,LEIFHEIT AG O.N.,Common stock,EUR,2505042,2018-10-10,15:00,17.04,17.04,17.04,17.04,1,1
56,DE0007235301,SGL,SGL CARBON SE O.N.,Common stock,EUR,2505087,2018-10-10,15:00,8.405,8.415,8.405,8.415,872,2
57,CH0210483332,RITN,CIE FIN.RICHEMONT   SF 1,Common stock,EUR,2504252,2018-10-10,15:00,64.22,64.22,64.22,64.22,100,1
58,IE00B52XQP83,IBC4,ISHSIII-MSCI S.AFR.DLACC,ETF,EUR,2505724,2018-10-10,15:00,24.365,24.365,24.365,24.365,2500,1
59,LU0962078753,XGII,XTR.II GL.INF.-LINK.BD 1D,ETF,EUR,2506083,2018-10-10,15:00,206.15,206.15,206.15,206.15,562,1
60,DE0005194062,BYW6,BAYWA AG VINK.NA. O.N.,Common stock,EUR,2504903,2018-10-10,15:00,28.5,28.5,28.5,28.5,125,1
61,DE0007257503,CEC,CECONOMY AG  ST O.N.,Common stock,EUR,2505090,2018-10-10,15:00,4.42,4.42,4.413,4.413,6179,15
62,DE000JST4000,JST,JOST WERKE AG INH.   O.N.,Common stock,EUR,2547456,2018-10-10,15:00,29.65,29.65,29.65,29.65,3,1
63,DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2018-10-10,15:00,99.33,99.34,99.24,99.29,6564,52
64,US02079K3059,ABEA,"ALPHABET INC.CL.A DL-,001",Common stock,EUR,2506424,2018-10-10,15:00,970.68,970.68,970.68,970.68,5,1
65,US88160R1014,TL0,"TESLA INC. DL -,001",Common stock,EUR,2506575,2018-10-10,15:00,218.31,218.31,218.31,218.31,2,1
66,DE000A0D8QZ7,EXSE,ISH.S.EUR.SMALL 200 U.ETF,ETF,EUR,2504291,2018-10-10,15:00,26.96,26.96,26.96,26.96,528,1
67,DE000A161408,HFG,HELLOFRESH SE  INH O.N.,Common stock,EUR,2759535,2018-10-10,15:00,10.09,10.1,10.09,10.1,2636,5
68,DE0005146807,DEX,DELTICOM AG  NA O.N.,Common stock,EUR,2504890,2018-10-10,15:00,8.54,8.54,8.4,8.4,1646,3
69,US1912161007,CCC3,"COCA-COLA CO.      DL-,25",Common stock,EUR,2506461,2018-10-10,15:00,40.32,40.32,40.32,40.32,5,1
70,DE0007276503,YSN,SECUNET SECURITY AG O.N.,Common stock,EUR,2505093,2018-10-10,15:00,99.9,99.9,99.9,99.9,1,1
71,LU1377527517,SEN,"SENVION S.A.     EUR -,01",Common stock,EUR,2506162,2018-10-10,15:00,5.06,5.06,5.06,5.06,141,1
72,IE00B60SX170,SC0H,IM-I.MSCI USA A,ETF,EUR,2505757,2018-10-10,15:00,64.7,64.7,64.7,64.7,24,1
73,DE0005933923,EXS3,ISHARES MDAX UCITS ETF,ETF,EUR,2504988,2018-10-10,15:00,206.8,206.8,206.7,206.7,235,4
74,DE0007236101,SIE,SIEMENS AG NA,Common stock,EUR,2505088,2018-10-10,15:00,102.64,102.64,102.52,102.58,7524,29
75,DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2018-10-10,15:00,195.05,195.2,194.95,195.0,1440,21
76,DE0005419105,COK,CANCOM SE O.N.,Common stock,EUR,2504930,2018-10-10,15:00,32.82,32.82,32.82,32.82,9,1
77,CH0038389992,BBZA,"BB BIOTECH NAM.   SF 0,20",Common stock,EUR,2504244,2018-10-10,15:00,60.85,60.85,60.85,60.85,200,1
78,NL0012044747,SAE,SHOP APOTHEKE EUROPE INH.,Common stock,EUR,2506271,2018-10-10,15:00,40.0,40.0,40.0,40.0,60,1
79,DE0007165631,SRT3,SARTORIUS AG VZO O.N.,Common stock,EUR,2505079,2018-10-10,15:00,122.2,122.2,122.2,122.2,81,2
80,DE000LED4000,OSR,OSRAM LICHT AG NA O.N.,Common stock,EUR,2504813,2018-10-10,15:00,31.81,31.84,31.8,31.84,5180,18
81,DE000A11QVV0,WL6,HEIDELBERG PHARMA AG O.N.,Common stock,EUR,2504545,2018-10-10,15:00,2.06,2.06,2.06,2.06,1296,1
82,LU0779800910,XCHA,XTR.CSI300 SWAP 1C,ETF,EUR,2506055,2018-10-10,15:00,8.3,8.3,8.3,8.3,150,1
83,DE000TUAG000,TUI1,TUI AG NA O.N.,Common stock,EUR,2504855,2018-10-10,15:00,15.715,15.715,15.705,15.705,994,6
84,DE0006083405,HBH,HORNBACH HOLD.ST O.N.,Common stock,EUR,2505010,2018-10-10,15:00,58.6,58.6,58.6,58.6,6,1
85,AT0000A0E9W5,SANT,S+T AG (Z.REG.MK.Z.)O.N.,Common stock,EUR,2504159,2018-10-10,15:00,21.72,21.72,21.7,21.7,1189,3
86,DE0007664005,VOW,VOLKSWAGEN AG ST O.N.,Common stock,EUR,2505113,2018-10-10,15:00,141.2,141.2,140.9,140.9,771,11
87,DE0005168108,B5A,BAUER AG,Common stock,EUR,2504896,2018-10-10,15:00,14.66,14.68,14.66,14.68,1062,10
88,DE0005439004,CON,CONTINENTAL AG O.N.,Common stock,EUR,2504933,2018-10-10,15:00,139.75,139.75,139.45,139.45,3944,21
89,GB0059822006,DLG,"DIALOG SEMICOND.   LS-,10",Common stock,EUR,2505387,2018-10-10,15:00,16.84,16.84,16.805,16.805,1656,8
90,LU0307018795,SFQ,"SAF HOLLAND S.A.   EO-,01",Common stock,EUR,2505867,2018-10-10,15:00,12.74,12.74,12.74,12.74,785,3
91,SE0006027546,SVAB,STOCKHOLM IT VENTURES AB,Common stock,EUR,3379110,2018-10-10,15:00,0.0175,0.018000000000000002,0.0175,0.018000000000000002,145000,2
92,DE000A0DJ6J9,S92,SMA SOLAR TECHNOL.AG,Common stock,EUR,2504287,2018-10-10,15:00,18.79,18.79,18.79,18.79,92,2
93,DE000BFB0019,B4B,METRO AG   ST O.N.,Common stock,EUR,2532386,2018-10-10,15:00,13.625,13.63,13.625,13.63,779,5
94,DE000EVNK013,EVK,EVONIK INDUSTRIES NA O.N.,Common stock,EUR,2504806,2018-10-10,15:00,28.47,28.47,28.46,28.46,1268,3
95,DE000A161N30,GLJ,GRENKE AG NA O.N.,Common stock,EUR,2504606,2018-10-10,15:00,92.8,92.8,92.8,92.8,69,2
96,DE0007251803,SAZ,STADA ARZNEIMITT. NA O.N.,Common stock,EUR,2505089,2018-10-10,15:00,81.74,81.74,81.74,81.74,11,1
97,US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2506427,2018-10-10,15:00,1579.73,1581.5,1579.73,1580.77,18,3
98,DE000HLAG475,HLAG,HAPAG-LLOYD AG NA O.N.,Common stock,EUR,2504809,2018-10-10,15:00,32.82,32.82,32.82,32.82,107,1
99,DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2018-10-10,15:00,39.18,39.18,39.13,39.14,8858,27
100,LU1673108939,AT1,"AROUNDTOWN EO-,01",Common stock,EUR,2653294,2018-10-10,15:00,7.255,7.255,7.255,7.255,18632,5
101,DE0008402215,HNR1,HANNOVER RUECK SE NA O.N.,Common stock,EUR,2505132,2018-10-10,15:00,121.4,121.4,121.4,121.4,32,1
102,DE0007201907,SIS,FIRST SENSOR AG O.N.,Common stock,EUR,2505082,2018-10-10,15:00,16.55,16.55,16.55,16.55,326,1
103,DE0002635307,EXSA,ISH.STOX.EUROPE 600 U.ETF,ETF,EUR,2504871,2018-10-10,15:00,36.25,36.25,36.25,36.25,1377,1
104,DE0007480204,DEQ,DEUTSCHE EUROSHOP NA O.N.,Common stock,EUR,2505102,2018-10-10,15:00,27.22,27.22,27.2,27.2,974,3
