,ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
0,LU1066226637,STM,"STABILUS S.A. INH. EO-,01",Common stock,EUR,2506096,2018-10-10,14:00,59.25,59.4,59.2,59.25,451,9
1,DE000A14ZT85,USPY,L+G-L+G CYB.SEC.U.ETF DZ,ETF,EUR,2504597,2018-10-10,14:00,12.0,12.008,11.968,12.008,14430,13
2,DE0006048408,HEN,HENKEL AG+CO.KGAA ST O.N.,Common stock,EUR,2505003,2018-10-10,14:00,85.75,85.75,85.75,85.75,28,1
3,DE000A12DM80,G24,SCOUT24 AG NA O.N.,Common stock,EUR,2504556,2018-10-10,14:00,35.82,35.86,35.82,35.86,252,3
4,DE0005785604,FRE,FRESENIUS SE+CO.KGAA O.N.,Common stock,EUR,2504973,2018-10-10,14:00,67.6,67.66,67.6,67.66,3167,13
5,DE0005565204,DUE,DUERR AG O.N.,Common stock,EUR,2504956,2018-10-10,14:00,32.78,32.79,32.62,32.62,3551,22
6,IE00B2QWCY14,IUS3,ISHSIII-S+P SM.CAP600 DLD,ETF,EUR,2505606,2018-10-10,14:00,58.2,58.2,58.13,58.2,1535,3
7,DE000ENAG999,EOAN,E.ON SE NA O.N.,Common stock,EUR,2504666,2018-10-10,14:00,8.437999999999999,8.443999999999999,8.437000000000001,8.442,12813,16
8,DE0005785802,FME,FRESEN.MED.CARE KGAA O.N.,Common stock,EUR,2504974,2018-10-10,14:00,87.54,87.6,87.54,87.6,401,6
9,DE000A0DNAY5,ACX,BET-AT-HOME.COM AG O.N.,Common stock,EUR,2504288,2018-10-10,14:00,45.0,45.1,45.0,45.0,190,5
10,DE0005089031,UTDI,UTD.INTERNET AG NA,Common stock,EUR,2504878,2018-10-10,14:00,36.42,36.43,36.42,36.42,2547,13
11,US02079K3059,ABEA,"ALPHABET INC.CL.A DL-,001",Common stock,EUR,2506424,2018-10-10,14:00,972.1,972.1,972.1,972.1,30,1
12,NL0000235190,AIR,AIRBUS,Common stock,EUR,2506257,2018-10-10,14:00,100.1,100.14,100.04,100.04,324,5
13,IE00B4L5ZY03,EUNS,ISHSIII-EO CBX-F1-5YR EOD,ETF,EUR,2505658,2018-10-10,14:00,109.46,109.46,109.46,109.46,165,1
14,DE0005408116,ARL,AAREAL BANK AG,Common stock,EUR,2504927,2018-10-10,14:00,35.89,35.89,35.8,35.85,2975,21
15,DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2018-10-10,14:00,40.31,40.36,40.27,40.36,1137,12
16,FR0000130809,SGE,"STE GENERALE INH. EO 1,25",Common stock,EUR,2505184,2018-10-10,14:00,36.66,36.66,36.66,36.66,60,1
17,DE0005439004,CON,CONTINENTAL AG O.N.,Common stock,EUR,2504933,2018-10-10,14:00,139.6,139.65,139.55,139.55,2056,28
18,DE000WAF3001,WAF,SILTRONIC AG NA O.N.,Common stock,EUR,2504859,2018-10-10,14:00,90.28,90.3,90.04,90.04,1195,12
19,LU1673108939,AT1,"AROUNDTOWN EO-,01",Common stock,EUR,2653294,2018-10-10,14:00,7.33,7.335,7.33,7.33,2880,3
20,DE000A111338,AM3D,SLM SOLUTIONS GRP AG,Common stock,EUR,2504550,2018-10-10,14:00,16.86,16.86,16.86,16.86,206,1
21,US8552441094,SRB,STARBUCKS CORP.,Common stock,EUR,2506569,2018-10-10,14:00,49.44,49.44,49.44,49.44,106,1
22,DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2018-10-10,14:00,144.52,144.76,144.48,144.56,2846,40
23,DE000VTG9999,VT9,VTG AG O.N.,Common stock,EUR,2504857,2018-10-10,14:00,52.8,52.8,52.8,52.8,230,1
24,DE000A1N49P6,OOEA,ETFS COM.SEC.Z12/UN.INDEX,ETC,EUR,2506294,2018-10-10,14:00,31.32,31.32,31.32,31.32,113,1
25,LU0524480265,XY4P,XTR.II IB.E.G.B.Y.P. 1C,ETF,EUR,2506001,2018-10-10,14:00,164.705,164.705,164.705,164.705,95,1
26,LU0274211217,DBXE,XTR.EURO STOXX 50 1D,ETF,EUR,2506401,2018-10-10,14:00,34.815,34.82,34.815,34.82,1614,2
27,DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN SE INH,Common stock,EUR,2504314,2018-10-10,14:00,40.18,40.21,40.18,40.21,576,4
28,DE0005168108,B5A,BAUER AG,Common stock,EUR,2504896,2018-10-10,14:00,15.02,15.02,14.96,15.0,2490,18
29,IE00BK1PV551,XDWL,X(IE)-MSCI WORLD 1D,ETF,EUR,2505443,2018-10-10,14:00,50.0,50.0,50.0,50.0,70,1
30,US01609W1027,AHLA,ALIBABA GR.HLDG SP.ADR 1,Common stock,EUR,2506421,2018-10-10,14:00,122.7,122.7,122.51,122.51,270,2
31,DE0007030009,RHM,RHEINMETALL AG,Common stock,EUR,2505071,2018-10-10,14:00,78.02,78.14,78.0,78.04,1496,32
32,DE000EVNK013,EVK,EVONIK INDUSTRIES NA O.N.,Common stock,EUR,2504806,2018-10-10,14:00,28.47,28.49,28.46,28.49,2104,10
33,IE00BJ0KDQ92,XDWD,X(IE)-MSCI WORLD 1C,ETF,EUR,2505424,2018-10-10,14:00,52.722,52.722,52.722,52.722,2250,1
34,DE0005470405,LXS,LANXESS AG,Common stock,EUR,2504935,2018-10-10,14:00,61.18,61.2,61.16,61.2,668,7
35,DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2018-10-10,14:00,63.12,63.14,63.12,63.12,2095,13
36,DE0008404005,ALV,ALLIANZ SE NA O.N.,Common stock,EUR,2505133,2018-10-10,14:00,190.08,190.24,189.96,190.22,4000,45
37,DE0005552004,DPW,DEUTSCHE POST AG NA O.N.,Common stock,EUR,2504953,2018-10-10,14:00,28.77,28.8,28.77,28.79,10295,19
38,DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2018-10-10,14:00,31.7,31.7,31.69,31.69,2888,7
39,IE00B74DQ490,IBC9,IS GL.HI.YI.C.B.U.ETF DLD,ETF,EUR,2505773,2018-10-10,14:00,82.1,82.1,82.1,82.1,250,1
40,DE000A2GS401,SOW,SOFTWARE AG  NA O.N.,Common stock,EUR,2696229,2018-10-10,14:00,36.04,36.04,36.04,36.04,61,1
41,DE0007297004,SZU,SUEDZUCKER AG  O.N.,Common stock,EUR,2505095,2018-10-10,14:00,12.525,12.525,12.525,12.525,1895,6
42,IE0032895942,IBCD,IS DL CORP BD U.ETF DLD,ETF,EUR,2505801,2018-10-10,14:00,94.05,94.05,94.05,94.05,9,1
43,DE0006200108,INH,INDUS HOLDING AG,Common stock,EUR,2505014,2018-10-10,14:00,50.6,50.6,50.6,50.6,137,17
44,DE0006766504,NDA,AURUBIS AG,Common stock,EUR,2505060,2018-10-10,14:00,54.08,54.16,54.08,54.16,397,3
45,DE0007472060,WDI,WIRECARD AG,Common stock,EUR,2505101,2018-10-10,14:00,168.7,168.7,168.4,168.5,1308,19
46,DE0005933923,EXS3,ISHARES MDAX UCITS ETF,ETF,EUR,2504988,2018-10-10,14:00,207.2,207.2,207.2,207.2,350,1
47,AT0000A0E9W5,SANT,S+T AG (Z.REG.MK.Z.)O.N.,Common stock,EUR,2504159,2018-10-10,14:00,21.88,21.92,21.88,21.92,1899,10
48,LU0274210672,DBXU,XTR.MSCI USA SWAP 1C,ETF,EUR,2505828,2018-10-10,14:00,66.60600000000001,66.612,66.60600000000001,66.612,660,4
49,IE00B3ZW0K18,IBCF,ISHSV-S+P500 EUR HGD ACC,ETF,EUR,2505647,2018-10-10,14:00,64.01,64.01,64.008,64.008,130,2
50,DE0007231326,SIX2,SIXT SE ST O.N.,Common stock,EUR,2505085,2018-10-10,14:00,93.7,93.9,93.6,93.9,695,10
51,IE00B1FZS913,IBCL,ISHSII EO G.BD15-30YR EOD,ETF,EUR,2505593,2018-10-10,14:00,221.63,221.63,221.63,221.63,41,1
52,DE000A1X3W00,MDG1,MEDIGENE AG NA O.N.,Common stock,EUR,2504531,2018-10-10,14:00,10.72,10.72,10.68,10.7,4759,8
53,IE00BTJRMP35,XMME,X(IE)-MSCI EM.MKTS 1CDL,ETF,EUR,2511295,2018-10-10,14:00,38.915,38.915,38.915,38.915,70,1
54,DE0007279507,SPM,SPL.MEDIEN AG O.N.,Common stock,EUR,2505094,2018-10-10,14:00,1.35,1.35,1.35,1.35,1500,1
55,DE000A0KRJT2,OD7B,ETFS COM.SEC.DZ06/UN.COFF,ETC,EUR,2504358,2018-10-10,14:00,0.8188,0.8188,0.8188,0.8188,42400,1
56,DE000A2E4K43,DHER,DELIVERY HERO SE NA O.N.,Common stock,EUR,2518798,2018-10-10,14:00,35.96,35.96,35.94,35.96,1322,6
57,DE0007571424,GKS,GK SOFTWARE  INH O.N.,Common stock,EUR,2505110,2018-10-10,14:00,99.8,99.8,99.8,99.8,50,1
58,DE000SHA0159,SHA,SCHAEFFLER AG INH. VZO,Common stock,EUR,2504849,2018-10-10,14:00,9.924,9.926,9.924,9.926,957,3
59,DE0007100000,DAI,DAIMLER AG NA O.N.,Common stock,EUR,2505076,2018-10-10,14:00,53.7,53.74,53.66,53.7,14516,49
60,DE000A0D9PT0,MTX,MTU AERO ENGINES NA O.N.,Common stock,EUR,2504297,2018-10-10,14:00,179.9,179.9,179.6,179.6,603,13
61,DE0005933956,EXW1,ISHARES EO STOXX 50 U.ETF,ETF,EUR,2506383,2018-10-10,14:00,32.855,32.885,32.855,32.885,6166,4
62,IE00B6YX5C33,SPY5,SPDR S+P 500 UCITS ETF,ETF,EUR,2505747,2018-10-10,14:00,247.97,247.97,247.97,247.97,33,1
63,IE00BC7GZW19,SYBD,SPDR B.B.0-3Y.E.C.B.UETF,ETF,EUR,2505399,2018-10-10,14:00,30.225,30.225,30.225,30.225,615,1
64,IE00B60SWX25,SC0D,IM.-I.EURO STOXX 50 A,ETF,EUR,2506398,2018-10-10,14:00,69.3,69.3,69.3,69.3,1400,1
65,DE0005419105,COK,CANCOM SE O.N.,Common stock,EUR,2504930,2018-10-10,14:00,32.88,32.9,32.84,32.84,981,6
66,DE0006047004,HEI,HEIDELBERGCEMENT AG O.N.,Common stock,EUR,2505002,2018-10-10,14:00,62.8,62.82,62.8,62.82,1074,6
67,DE000A0X8994,DEL2,L+G-L+G DAX DAILY 2X L.DZ,ETF,EUR,2504256,2018-10-10,14:00,265.3,265.3,265.3,265.3,98,1
68,DE000A1YKTG2,GY3L,ETFS EQ.SEC.DZ/UNDATED,ETN,EUR,2504539,2018-10-10,14:00,12.032,12.032,12.032,12.032,2000,1
69,US0605051046,NCB,"BANK AMERICA      DL 0,01",Common stock,EUR,2506443,2018-10-10,14:00,26.0,26.0,25.96,25.96,500,2
70,IE00BJ0KDR00,XD9U,X(IE) - MSCI USA 1C,ETF,EUR,2505425,2018-10-10,14:00,66.24600000000001,66.264,66.24600000000001,66.264,332,2
71,DE000KC01000,KCO,KLOECKNER + CO SE NA O.N.,Common stock,EUR,2504810,2018-10-10,14:00,9.39,9.39,9.39,9.39,979,2
72,DE000LED4000,OSR,OSRAM LICHT AG NA O.N.,Common stock,EUR,2504813,2018-10-10,14:00,31.97,31.99,31.94,31.95,1507,7
73,DE0007236101,SIE,SIEMENS AG NA,Common stock,EUR,2505088,2018-10-10,14:00,102.76,102.84,102.74,102.82,8193,48
74,DE0007037145,RWE3,RWE AG VZO O.N.,Common stock,EUR,2505073,2018-10-10,14:00,14.5,14.5,14.5,14.5,259,2
75,DE000PSM7770,PSM,PROSIEBENSAT.1  NA O.N.,Common stock,EUR,2504848,2018-10-10,14:00,22.22,22.23,22.22,22.22,3816,5
76,DE0005557508,DTE,DT.TELEKOM AG NA,Common stock,EUR,2504954,2018-10-10,14:00,14.32,14.335,14.32,14.335,41591,27
77,DE000A2LQ2L3,IGYB,INNOGY SE  Z.VERK.,Common stock,EUR,3166236,2018-10-10,14:00,36.785,36.785,36.785,36.785,46,1
78,DE000STRA555,SBS,STRATEC BIOMEDICAL  NA ON,Common stock,EUR,2504851,2018-10-10,14:00,50.9,50.9,50.9,50.9,4,1
79,LU1737652583,AEMD,AIS-A.IN.MSCI E.M.UCETFDD,ETF,EUR,2973675,2018-10-10,14:00,43.604,43.604,43.604,43.604,195,1
80,DE000SHL1006,SHL,SIEMENS HEALTH.AG NA O.N.,Common stock,EUR,3058562,2018-10-10,14:00,33.79,33.79,33.75,33.77,4008,14
81,DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Common stock,EUR,2504900,2018-10-10,14:00,75.34,75.36,75.29,75.33,4454,32
82,LU0496786574,LYPS,MUL-LYX.S+P500UC.ETF D-EO,ETF,EUR,2505993,2018-10-10,14:00,25.368000000000002,25.368000000000002,25.368000000000002,25.368000000000002,7,1
83,FR0010869578,LYQK,LYX.BU.DA.(-2X)INV.UETF A,ETF,EUR,2505304,2018-10-10,14:00,34.874,34.874,34.874,34.874,46,2
