date,store_id,y_label,y_pred
2019-09-30,18,1674.1,2023.5303955078
2019-09-24,19,1468.5,902.7549438477
2019-09-25,19,1077.6,1011.6033325195
2019-09-26,19,1065.1,823.7393798828
2019-09-27,19,1057.5,988.057434082
2019-09-28,19,892.2,902.7170410156
2019-09-29,19,704.9,618.8227539062
2019-09-30,19,1075.2,880.1267700195
2019-09-24,20,1088.6,923.642578125
2019-09-25,20,1093.0,870.4268798828
2019-09-26,20,969.5,737.6705322266
2019-09-27,20,839.7,840.9821777344
2019-09-28,20,735.9,509.3821411133
2019-09-29,20,773.2,631.357421875
2019-09-30,20,941.8,1218.0588378906
2019-09-24,21,3263.5,4260.3544921875
2019-09-25,21,2836.4,4696.8154296875
2019-09-26,21,3344.4,4312.1381835938
2019-09-27,21,3405.3,4868.5703125
2019-09-28,21,5294.5,5389.7231445312
2019-09-29,21,3014.0,5204.5771484375
2019-09-30,21,3802.5,4577.9213867188
2019-09-24,22,1391.2,1595.8900146484
2019-09-25,22,1192.4,1665.0434570312
2019-09-26,22,1460.8,1718.8470458984
2019-09-27,22,1733.9,1760.6226806641
2019-09-28,22,2765.2,2086.6940917969
2019-09-29,22,1390.6,2190.0715332031
2019-09-30,22,1913.5,1728.3946533203
2019-09-24,23,24472.5,19415.40234375
2019-09-25,23,29690.9,22046.904296875
2019-09-26,23,21298.3,19210.99609375
2019-09-27,23,20870.4,20022.90234375
2019-09-28,23,24170.8,20571.87109375
2019-09-29,23,31442.7,20401.609375
2019-09-30,23,27118.9,16478.08984375
2019-09-24,24,7026.0,3523.3103027344
2019-09-25,24,4043.6,3909.6909179688
2019-09-26,24,6221.2,3127.6005859375
2019-09-27,24,5847.8,4092.3266601562
2019-09-28,24,5126.7,5268.4536132812
2019-09-29,24,5775.6,5360.7177734375
2019-09-30,24,4946.2,2869.6579589844
2019-09-24,25,4020.8,4161.7827148438
2019-09-25,25,3918.8,4500.1625976562
2019-09-26,25,2976.6,2902.2585449219
2019-09-27,25,4433.3,3349.2321777344
2019-09-28,25,3009.4,4487.6196289062
2019-09-29,25,2484.7,4600.0009765625
2019-09-30,25,5289.4,3233.9013671875
2019-09-24,26,3116.8,4372.0439453125
2019-09-25,26,6146.0,4908.7978515625
2019-09-26,26,4150.9,4528.5458984375
2019-09-27,26,4957.9,4682.1962890625
2019-09-28,26,9117.2,6581.34765625
2019-09-29,26,5953.1,8535.6826171875
2019-09-30,26,6096.7,4007.2709960938
2019-09-24,27,14869.0,11102.546875
2019-09-25,27,23235.6,12757.68359375
2019-09-26,27,11268.1,10742.2822265625
2019-09-27,27,16288.0,10313.291015625
2019-09-28,27,16983.0,10718.876953125
2019-09-29,27,16134.8,10889.4111328125
2019-09-30,27,15146.6,9726.5341796875
2019-09-24,28,4528.5,4716.2509765625
2019-09-25,28,9615.8,4616.833984375
2019-09-26,28,4209.4,4143.1899414062
2019-09-27,28,4587.9,3779.1760253906
2019-09-28,28,10097.7,5202.0268554688
2019-09-29,28,6541.2,5094.4296875
2019-09-30,28,7174.0,3843.3933105469
2019-09-24,29,8329.0,6513.3569335938
2019-09-25,29,6423.3,6952.943359375
2019-09-26,29,9783.7,6241.044921875
2019-09-27,29,7159.0,6656.4365234375
2019-09-28,29,11936.8,8805.0107421875
2019-09-29,29,8220.1,7694.6840820312
2019-09-30,29,6280.2,6446.775390625
2019-09-24,30,19413.6,18098.58203125
2019-09-25,30,31096.9,19392.47265625
2019-09-26,30,23032.1,17373.58984375
2019-09-27,30,26859.1,18214.7890625
2019-09-28,30,31667.1,23600.5234375
2019-09-29,30,25167.2,25763.681640625
2019-09-30,30,29630.4,16158.7275390625
2019-09-24,31,7383.9,6986.9965820312
2019-09-25,31,8558.8,6854.2729492188
2019-09-26,31,9763.9,5622.0546875
2019-09-27,31,8243.4,5319.5170898438
2019-09-28,31,9221.3,7318.701171875
2019-09-29,31,10352.9,8708.1923828125
2019-09-30,31,9529.5,5632.7880859375
2019-09-24,32,5986.4,3601.6496582031
2019-09-25,32,4883.3,3241.8806152344
2019-09-26,32,4274.9,2884.8010253906
2019-09-27,32,5136.6,3142.5598144531
2019-09-28,32,7157.2,4667.2153320312
2019-09-29,32,4624.4,5554.5107421875
2019-09-30,32,4928.0,2746.4187011719
2019-09-24,33,9861.3,7957.3676757812
