date,store_id,y_label,y_pred
2019-09-30,18,1674.1,2160.6328125
2019-09-24,19,1468.5,989.6636962891
2019-09-25,19,1077.6,981.200378418
2019-09-26,19,1065.1,879.1348266602
2019-09-27,19,1057.5,1201.8216552734
2019-09-28,19,892.2,1062.41796875
2019-09-29,19,704.9,1023.505065918
2019-09-30,19,1075.2,975.6427612305
2019-09-24,20,1088.6,1153.8115234375
2019-09-25,20,1093.0,942.6649169922
2019-09-26,20,969.5,924.2481689453
2019-09-27,20,839.7,978.492980957
2019-09-28,20,735.9,846.5426025391
2019-09-29,20,773.2,1028.3540039062
2019-09-30,20,941.8,1272.6115722656
2019-09-24,21,3263.5,4798.6782226562
2019-09-25,21,2836.4,4745.2651367188
2019-09-26,21,3344.4,4921.1826171875
2019-09-27,21,3405.3,5120.4506835938
2019-09-28,21,5294.5,5896.6538085938
2019-09-29,21,3014.0,6101.5146484375
2019-09-30,21,3802.5,4804.4418945312
2019-09-24,22,1391.2,1818.3946533203
2019-09-25,22,1192.4,1743.2866210938
2019-09-26,22,1460.8,2023.7526855469
2019-09-27,22,1733.9,2157.9213867188
2019-09-28,22,2765.2,2501.2416992188
2019-09-29,22,1390.6,2560.0646972656
2019-09-30,22,1913.5,1861.8852539062
2019-09-24,23,24472.5,22408.50390625
2019-09-25,23,29690.9,22191.765625
2019-09-26,23,21298.3,22081.375
2019-09-27,23,20870.4,22909.859375
2019-09-28,23,24170.8,24492.763671875
2019-09-29,23,31442.7,24297.978515625
2019-09-30,23,27118.9,19740.90234375
2019-09-24,24,7026.0,4517.5834960938
2019-09-25,24,4043.6,4354.111328125
2019-09-26,24,6221.2,4353.9624023438
2019-09-27,24,5847.8,4917.2998046875
2019-09-28,24,5126.7,6354.4047851562
2019-09-29,24,5775.6,6803.1987304688
2019-09-30,24,4946.2,4206.7446289062
2019-09-24,25,4020.8,4264.0732421875
2019-09-25,25,3918.8,4546.5415039062
2019-09-26,25,2976.6,4173.5712890625
2019-09-27,25,4433.3,4260.1865234375
2019-09-28,25,3009.4,5797.3466796875
2019-09-29,25,2484.7,6224.4970703125
2019-09-30,25,5289.4,3937.1301269531
2019-09-24,26,3116.8,4782.0805664062
2019-09-25,26,6146.0,5523.9799804688
2019-09-26,26,4150.9,5338.8510742188
2019-09-27,26,4957.9,6644.2568359375
2019-09-28,26,9117.2,7903.6801757812
2019-09-29,26,5953.1,9311.0986328125
2019-09-30,26,6096.7,4264.3359375
2019-09-24,27,14869.0,12903.986328125
2019-09-25,27,23235.6,13474.7841796875
2019-09-26,27,11268.1,12204.0126953125
2019-09-27,27,16288.0,11998.0712890625
2019-09-28,27,16983.0,12739.564453125
2019-09-29,27,16134.8,14502.736328125
2019-09-30,27,15146.6,12899.1162109375
2019-09-24,28,4528.5,4305.3237304688
2019-09-25,28,9615.8,4528.0854492188
2019-09-26,28,4209.4,4343.318359375
2019-09-27,28,4587.9,4157.12890625
2019-09-28,28,10097.7,5603.48046875
2019-09-29,28,6541.2,7347.6381835938
2019-09-30,28,7174.0,4146.2490234375
2019-09-24,29,8329.0,7303.4921875
2019-09-25,29,6423.3,6802.6391601562
2019-09-26,29,9783.7,7314.92578125
2019-09-27,29,7159.0,7897.9077148438
2019-09-28,29,11936.8,10875.0615234375
2019-09-29,29,8220.1,9235.482421875
2019-09-30,29,6280.2,8264.734375
2019-09-24,30,19413.6,19683.587890625
2019-09-25,30,31096.9,19296.4921875
2019-09-26,30,23032.1,20079.384765625
2019-09-27,30,26859.1,19936.6328125
2019-09-28,30,31667.1,25930.869140625
2019-09-29,30,25167.2,28458.005859375
2019-09-30,30,29630.4,20252.68359375
2019-09-24,31,7383.9,7729.75390625
2019-09-25,31,8558.8,7315.37109375
2019-09-26,31,9763.9,6695.6118164062
2019-09-27,31,8243.4,6124.1474609375
2019-09-28,31,9221.3,7967.5498046875
2019-09-29,31,10352.9,11350.9462890625
2019-09-30,31,9529.5,6896.6616210938
2019-09-24,32,5986.4,3961.4702148438
2019-09-25,32,4883.3,3627.244140625
2019-09-26,32,4274.9,3745.662109375
2019-09-27,32,5136.6,4953.1782226562
2019-09-28,32,7157.2,6305.9716796875
2019-09-29,32,4624.4,8100.8720703125
2019-09-30,32,4928.0,4350.560546875
2019-09-24,33,9861.3,8691.3857421875
2019-09-25,33,12046.5,8357.0537109375
2019-09-26,33,9009.6,7881.9653320312
2019-09-27,33,9856.3,7971.8627929688
2019-09-28,33,9485.6,7450.00390625
2019-09-29,33,8283.8,8912.693359375
2019-09-30,33,8919.8,8437.544921875
2019-09-24,34,3535.8,5454.296875
2019-09-25,34,6688.2,5023.001953125
2019-09-26,34,4636.8,5208.3403320312
2019-09-27,34,5855.6,5508.21484375
